"interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue"
"7.84","7.93","69.6773065234638","19.0838546593115","3.65111282638418","1.86833625150353","0.726110901647941","0.726110901647941","1","A","0","0"
"7.93","8.02","71.5358541044686","19.0262985034205","3.75984083775454","1.91067159077462","0.734031294633945","0.734031294633945","1","A","0","0"
"8.02","8.11","73.6719653280398","18.967511719364","3.88411334170037","1.95758530042838","0.742540983739104","0.742540983739104","1","A","0","0"
"8.11","8.2","76.0725095907803","18.9076130409558","4.02337986429063","2.00840795532786","0.751452750242286","0.751452750242286","1","A","0","0"
"8.2","8.29","78.6889280681839","18.8467266085524","4.17520398648303","2.06184668455635","0.760490744107967","0.760490744107967","1","A","0","0"
"8.29","8.38","81.4615567220002","18.7849760034731","4.33652705794989","2.11654011132289","0.769400723981011","0.769400723981011","1","A","0","0"
"8.38","8.47","84.3214468692735","18.7224834500452","4.50375331318934","2.17112780797209","0.777962972112287","0.777962972112287","1","A","0","0"
"8.47","8.56","87.1892672812076","18.6593697650623","4.67268018046678","2.22425029595631","0.78599006108308","0.78599006108308","1","A","0","0"
"8.56","8.65","89.9748826964581","18.5957543150473","4.83846372521991","2.27454904588139","0.793322827907623","0.793322827907623","1","A","0","0"
"8.65","8.74","92.5777814813907","18.5317549811798","4.99562947898941","2.3206664776169","0.799825026214255","0.799825026214255","1","A","0","0"
"8.74","8.83","94.8885237006071","18.4674881317369","5.1381391461429","2.36124596044739","0.805377010712005","0.805377010712005","1","A","0","0"
"8.83","8.92","96.7913524911794","18.4030686018957","5.2595224516638","2.39493181322613","0.809868669790798","0.809868669790798","1","A","0","0"
"8.92","9.01","98.1680686224568","18.338609669309","5.35308130728953","2.42036956573577","0.813191703507612","0.813191703507612","1","A","0","0"
"9.01","9.1","98.9208366309003","18.2742117069674","5.4131383731964","2.43646526737506","0.815264282740012","0.815264282740012","1","A","0","0"
"9.1","9.19","99.0289268382893","18.2099298465292","5.43818277571036","2.44312464073002","0.816115044079339","0.816115044079339","1","A","0","0"
"9.19","9.28","98.5433179721378","18.1457801533552","5.43064652714404","2.44112396340351","0.815859862172636","0.815859862172636","1","A","0","0"
"9.28","9.37","97.534212210889","18.0817726788323","5.39406251495844","2.43137224191054","0.814610973227161","0.814610973227161","1","A","0","0"
"9.37","9.46","96.0783368898383","18.0179173323757","5.33237749499487","2.41477891675084","0.812466390284891","0.812466390284891","1","A","0","0"
"9.46","9.55","94.2555227101224","17.9542238822376","5.24976870781759","2.39225386250541","0.809515417600995","0.809515417600995","1","A","0","0"
"9.55","9.64","92.1457343595544","17.890701956369","5.15048177451478","2.36470738786765","0.805843405766792","0.805843405766792","1","A","0","0"
"9.64","9.73","89.8266415049054","17.8273610433339","5.03869536756219","2.33305023563043","0.801535928042457","0.801535928042457","1","A","0","0"
"9.73","9.82","87.3717661738069","17.7642104932746","4.91841538394769","2.29819358264749","0.796682483699177","0.796682483699177","1","A","0","0"
"9.82","9.91","84.8492000094083","17.701259518926","4.79339901879234","2.26104903978417","0.791379771206291","0.791379771206291","1","A","0","0"
"9.91","10","82.3208532620667","17.6385171966783","4.66710735058666","2.22252865186984","0.785734519289706","0.785734519289706","1","A","0","0"
